aH,aT,sH,y
41,26,61,0
39,25,62,1
39,25,61,2
39,25,62,3
40,25,62,4
39,25,62,5
39,25,62,6
40,25,62,7
39,25,62,8
39,25,62,9
39,25,61,10
40,25,61,11
40,25,61,12
40,25,61,13
40,25,61,14
40,25,61,15
40,25,61,16
41,25,62,17
41,25,61,18
40,25,61,19
40,25,61,20
40,25,61,21
40,25,61,22
40,25,61,23
40,25,61,24
40,25,61,25
40,25,62,26
40,25,61,27
40,25,62,28
40,25,61,29
40,25,62,30
41,25,62,31
41,25,62,32
40,25,62,33
40,25,62,34
40,25,61,35
40,25,62,36
40,25,61,37
40,25,62,38
41,25,62,39
40,25,62,40
41,25,62,41
41,25,63,42
40,25,63,43
41,25,62,44
40,25,62,45
40,25,62,46
40,25,63,47
41,25,63,48
41,25,63,49
41,25,63,50
42,25,63,51
42,25,63,52
41,25,63,53
41,25,63,54
41,25,64,55
41,25,63,56
41,25,64,57
41,25,63,58
41,25,64,59
41,25,64,60
41,25,64,61
41,25,64,62
42,25,64,63
41,25,64,64
41,25,64,65
41,25,64,66
41,25,65,67
41,25,65,68
41,25,64,69
41,25,64,70
42,25,64,71
42,25,64,72
42,25,65,73
42,25,64,74
42,25,65,75
42,25,64,76
43,25,64,77
42,24,65,78
42,24,64,79
42,24,64,80
41,24,64,81
41,24,64,82
42,24,64,83
41,23,64,84
42,24,64,85
42,23,64,86
41,25,64,87
41,25,64,88
42,25,64,89
43,25,64,90
43,25,65,91
42,25,64,92
42,25,64,93
42,25,64,94
42,25,64,95
42,25,64,96
42,25,63,97
42,25,64,98
41,25,64,99
41,25,64,100
41,25,64,101
41,25,64,102
41,25,64,103
41,25,64,104
41,25,64,105
41,24,64,106
42,24,63,107
41,24,64,108
41,24,63,109
41,24,63,110
41,24,63,111
41,24,63,112
41,23,63,113
41,23,63,114
41,23,63,115
41,23,62,116
41,24,63,117
41,24,62,118
41,24,62,119
41,24,62,120
41,25,62,121
41,25,62,122
41,25,62,123
42,25,62,124
41,25,62,125
42,25,62,126
42,25,62,127
42,25,62,128
42,25,62,129
42,25,62,130
42,25,62,131
41,25,62,132
41,25,62,133
41,25,62,134
41,25,62,135
41,25,61,136
41,25,62,137
41,25,62,138
42,25,62,139
42,25,61,140
42,25,62,141
42,25,62,142
41,25,62,143
41,25,62,144
42,25,62,145
42,25,61,146
41,25,62,147
42,25,62,148
42,25,61,149
41,25,61,150
41,25,61,151
41,25,61,152
42,25,61,153
42,24,61,154
42,24,61,155
42,24,61,156
41,24,61,157
41,24,61,158
41,24,61,159
41,24,61,160
41,24,61,161
41,23,61,162
41,25,61,163
41,25,61,164
41,25,61,165
41,23,60,166
41,23,61,167
41,23,61,168
41,23,61,169
41,23,61,170
41,25,61,171
41,25,61,172
41,25,61,173
42,25,61,174
42,25,60,175
42,25,60,176
43,25,60,177
48,25,61,178
48,25,61,179
47,25,61,180
45,25,61,181
46,25,61,182
41,25,61,183
46,25,60,184
41,25,61,185
41,25,61,186
41,25,61,187
41,25,61,188
42,25,60,189
40,25,60,190
40,25,60,191
40,25,61,192
40,25,61,193
40,25,61,194
40,25,61,195
40,25,61,196
40,25,61,197
41,25,61,198
48,25,61,199
41,25,61,200
49,25,60,201
40,25,61,202
40,25,61,203
50,25,61,204
40,25,61,205
49,25,60,206
42,25,61,207
39,25,61,208
40,25,60,209
40,25,60,210
40,24,61,211
39,24,61,212
39,23,61,213
39,25,61,214
40,25,61,215
40,25,61,216
40,25,61,217
40,25,61,218
40,25,61,219
40,25,61,220
40,23,61,221
40,25,60,222
40,25,61,223
40,25,61,224
40,25,61,225
41,25,60,226
40,25,75,227
39,25,75,228
40,25,75,229
40,25,76,230
43,25,75,231
43,25,75,232
43,25,74,233
43,25,74,234
42,25,75,235
42,25,75,236
42,25,75,237
42,25,75,238
42,24,75,239
42,25,75,240
42,25,75,241
42,25,75,242
42,25,74,243
42,25,74,244
42,25,74,245
42,25,74,246
42,25,73,247
42,25,75,248
42,21,74,249
42,22,74,250
42,25,74,251
41,25,75,252
41,25,73,253
42,25,73,254
42,25,72,255
41,25,72,256
41,25,71,257
41,25,72,258
40,25,71,259
40,25,71,260
40,25,71,261
40,25,70,262
40,25,70,263
40,25,70,264
39,25,70,265
37,20,70,266
38,24,70,267
37,24,70,268
37,24,70,269
38,24,70,270
37,24,70,271
37,24,70,272
37,24,70,273
37,24,70,274
37,24,70,275
37,24,70,276
37,24,70,277
37,24,70,278
36,24,70,279
36,24,69,280
36,24,69,281
36,24,67,282
36,24,68,283
35,24,69,284
35,24,69,285
35,24,68,286
35,24,68,287
35,23,67,288
35,24,68,289
35,23,68,290
35,23,68,291
35,24,67,292
35,23,67,293
35,24,68,294
35,24,68,295
35,23,68,296
35,23,68,297
35,23,68,298
34,24,67,299
34,23,65,300
35,23,69,301
34,23,64,302
34,23,65,303
34,23,66,304
34,23,66,305
34,23,65,306
34,23,67,307
34,23,66,308
35,23,68,309
36,23,70,310
36,23,68,311
36,24,67,312
36,24,66,313
36,24,65,314
36,24,66,315
36,24,68,316
36,24,68,317
36,24,68,318
37,24,68,319
36,24,68,320
36,24,68,321
37,24,68,322
36,24,67,323
36,24,66,324
37,24,66,325
37,24,63,326
